State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production,Year
KY,3,54,162,47,1.65,267,2002
LA,35,124,4340,347,1.14,4948,2002
ME,11,41,451,266,1.21,546,2002
MD,3,46,138,21,1.75,242,2002
MI,72,77,5544,1885,1.34,7429,2002
MN,117,73,8541,1110,1.42,12128,2002
MS,18,78,1404,281,1.18,1657,2002
MO,18,53,954,200,1.37,1307,2002
MT,134,63,8442,1097,1.35,11397,2002
NE,43,75,3225,1161,1.45,4676,2002
NV,9,62,558,61,2.27,1267,2002
NJ,10,35,350,74,0.98,343,2002
NM,11,44,484,252,1.09,528,2002
NY,60,98,5880,2470,1.17,6880,2002
NC,14,51,714,86,1.36,971,2002
ND,320,75,24000,8160,1.42,34080,2002
OH,16,81,1296,518,1.4,1814,2002
OK,3,53,159,51,1.6,254,2002
OR,39,49,1911,803,1.28,2446,2002
PA,18,57,1026,513,1.3,1334,2002
SC,5,94,470,14,1.25,588,2002
SD,225,51,11475,2410,1.4,16065,2002
TN,8,61,488,137,1.37,669,2002
TX,114,67,7638,985,1.09,8325,2002
UT,22,59,1298,208,1.29,1674,2002
VT,7,89,623,274,1.19,741,2002
VA,7,38,266,69,1.86,495,2002
WA,44,51,2244,494,1.25,2805,2002
WV,9,51,459,151,1.37,629,2002
WI,70,95,6650,2461,1.3,8645,2002
WY,38,63,2394,383,1.39,3328,2002
Other,8,51,408,188,2.18,891,2002
US,2524,67.8,171140,39047,1.286,221638,2002
AL,13,82,1066,43,1.26,1343,2003
AZ,40,72,2880,1123,1.38,3974,2003
AR,40,75,3000,810,1.27,3810,2003
CA,480,67,32160,6432,1.42,45667,2003
CO,24,86,2064,722,1.38,2848,2003
FL,210,71,14910,1491,1.35,20129,2003
GA,52,65,3380,270,1.28,4326,2003
HI,7,113,791,43,1.43,1131,2003
ID,100,46,4600,1380,1.35,6210,2003
IL,7,60,420,252,1.73,727,2003
IN,5,56,280,78,1.59,445,2003
IA,32,59,1888,868,1.45,2738,2003
KS,16,57,912,447,1.58,1441,2003
KY,5,48,240,14,1.64,394,2003
LA,34,90,3060,275,1.24,3794,2003
ME,8,33,264,145,1.4,370,2003
MD,2,42,84,21,1.91,160,2003
MI,65,74,4810,1732,1.47,7071,2003
MN,120,83,9960,1892,1.46,14542,2003
MS,21,69,1449,246,1.28,1855,2003
MO,17,53,901,189,1.41,1270,2003
MT,145,66,9570,1914,1.48,14164,2003
NE,45,74,3330,1299,1.43,4762,2003
NV,6,64,384,46,2.41,925,2003
NJ,10,19,190,101,1.57,298,2003
NM,6,41,246,108,1.16,285,2003
NY,67,72,4824,1640,1.4,6754,2003
NC,10,44,440,79,1.9,836,2003
ND,340,87,29580,6803,1.36,40229,2003
OH,15,50,750,278,1.43,1073,2003
OK,3,47,141,69,1.83,258,2003
OR,42,51,2142,964,1.26,2699,2003
PA,27,50,1350,419,1.32,1782,2003
SC,6,70,420,13,1.95,819,2003
SD,200,70,14000,2520,1.46,20440,2003
TN,7,40,280,53,1.53,428,2003
TX,140,67,9380,1126,1.42,13320,2003
UT,23,57,1311,144,1.3,1704,2003
VT,7,83,581,163,1.92,1116,2003
VA,6,37,222,69,1.69,375,2003
WA,58,56,3248,942,1.52,4937,2003
WV,8,47,376,194,2.01,756,2003
WI,74,77,5698,2678,1.44,8205,2003
WY,39,81,3159,474,1.4,4423,2003
Other,8,44,355,166,2.7,958,2003
US,2590,69.9,181096,40735,1.4040000000000001,255791,2003
AL,12,87,1044,282,1.4,1462,2004
AZ,32,55,1760,774,1.15,2024,2004
AR,40,57,2280,388,0.9,2052,2004
CA,390,45,17550,5792,1.01,17726,2004
CO,23,80,1840,791,1.48,2723,2004
FL,205,98,20090,2009,1,20090,2004
GA,63,49,3087,648,1.18,3643,2004
HI,8,96,768,77,1.41,1083,2004
ID,100,63,6300,2520,1.01,6363,2004
IL,7,55,385,193,1.93,743,2004
IN,7,59,413,145,1.58,653,2004
IA,35,67,2345,1337,1.28,3002,2004
KS,14,80,1120,683,1.23,1378,2004
LA,35,98,3430,240,0.79,2710,2004
ME,7,31,217,37,1.27,276,2004
MI,65,67,4355,2439,1.17,5095,2004
MN,135,75,10125,1924,1.04,10530,2004
MS,18,65,1170,421,0.8,936,2004
MO,16,41,656,151,1.37,899,2004
MT,140,77,10780,3773,1.06,11427,2004
NE,51,89,4539,2043,1.07,4857,2004
NV,14,55,770,316,3.3,2541,2004
NJ,12,27,324,45,1.38,447,2004
NM,8,44,352,127,1.22,429,2004
NY,64,67,4288,1887,1.33,5703,2004
NC,9,40,360,72,2.18,785,2004
ND,390,78,30420,9126,1.05,31941,2004
OH,16,58,928,353,1.5,1392,2004
OR,42,54,2268,1111,1.24,2812,2004
PA,30,54,1620,810,1.38,2236,2004
SD,215,105,22575,13545,1.06,23930,2004
TN,6,54,324,91,1.72,557,2004
TX,116,76,8816,1411,0.96,8463,2004
UT,23,70,1610,531,1.04,1674,2004
VT,6,68,408,192,1.45,592,2004
VA,7,38,266,69,2.13,567,2004
WA,56,63,3528,1376,1.03,3634,2004
WV,9,55,495,183,1.42,703,2004
WI,68,86,5848,2632,1.33,7778,2004
WY,39,75,2925,380,1.09,3188,2004
Other,23,52,1203,298,2.28,2746,2004
US,2556,71.8,183582,61222,1.085,201790,2004
AL,13,66,858,266,1.28,1098,2005
AZ,36,50,1800,720,0.97,1746,2005
AR,36,69,2484,571,0.95,2360,2005
CA,400,75,30000,9300,0.84,25200,2005
CO,26,70,1820,837,1.04,1893,2005
FL,160,86,13760,2477,0.87,11971,2005
GA,59,49,2891,434,0.84,2428,2005
HI,9,131,1179,283,1.34,1580,2005
ID,95,37,3515,1793,0.8,2812,2005
IL,8,85,680,408,1.62,1102,2005
IN,8,64,512,189,1.19,609,2005
IA,28,88,2464,1232,0.98,2415,2005
KS,16,50,800,328,1.24,992,2005
KY,5,50,250,40,2.12,530,2005
LA,35,97,3395,611,0.71,2410,2005
ME,8,26,208,193,1.87,389,2005
MI,65,68,4420,2519,0.99,4376,2005
MN,120,74,8880,1598,0.83,7370,2005
MS,16,80,1280,346,0.66,845,2005
MO,15,50,750,180,1.21,908,2005
MT,130,67,8710,3136,0.8,6968,2005
NE,40,68,2720,2530,0.89,2421,2005
NV,12,46,552,442,2.09,1154,2005
NJ,12,32,384,104,1.18,453,2005
NM,7,49,343,113,1.02,350,2005
NY,60,73,4380,2321,1.22,5344,2005
NC,10,54,540,146,1.94,1048,2005
ND,370,91,33670,8418,0.81,27273,2005
OH,15,69,1035,580,1.41,1459,2005
OR,39,42,1638,557,1.08,1769,2005
PA,28,56,1568,800,1.05,1646,2005
SD,220,79,17380,11818,0.76,13209,2005
TN,7,55,385,92,1.64,631,2005
TX,84,71,5964,954,0.85,5069,2005
UT,23,45,1035,331,1.03,1066,2005
VT,6,91,546,169,1.06,579,2005
VA,8,37,296,59,2.21,654,2005
WA,51,55,2805,1935,1.06,2973,2005
WV,8,51,408,102,1.24,506,2005
WI,64,83,5312,2922,1.14,6056,2005
WY,40,56,2240,291,0.87,1949,2005
Other,18,44,786,261,2.78,2184,2005
US,2410,72.5,174643,62406,0.904,157795,2005
AL,11,72,792,230,1.46,1156,2006
AZ,30,65,1950,839,1.39,2711,2006
AR,32,76,2432,730,1.05,2554,2006
CA,380,52,19760,7706,0.98,19365,2006
CO,36,75,2700,1458,1.39,3753,2006
FL,170,81,13770,1790,1.01,13908,2006
GA,63,74,4662,746,1.16,5408,2006
HI,10,93,930,233,1.19,1107,2006
ID,95,44,4180,2592,0.86,3595,2006
IL,10,66,660,356,1.88,1241,2006
IN,6,54,324,107,1.51,489,2006
IA,26,84,2184,1441,1.15,2512,2006
KS,14,55,770,246,1.4,1078,2006
KY,5,56,280,70,2.2,616,2006
LA,30,90,2700,675,0.89,2403,2006
ME,11,23,253,86,2,506,2006
MI,72,55,3960,2099,1.28,5069,2006
MN,125,80,10000,3300,0.89,8900,2006
MS,14,98,1372,453,1.05,1441,2006
MO,15,46,690,117,1.49,1028,2006
MT,132,79,10428,1981,1,10428,2006
NE,47,73,3431,3843,1.04,3568,2006
NV,9,37,333,50,3.55,1182,2006
NJ,9,36,324,152,1.15,373,2006
NM,7,48,336,104,0.96,323,2006
NY,60,64,3840,2458,1.38,5299,2006
NC,10,50,500,215,1.56,780,2006
ND,350,74,25900,7770,0.9,23310,2006
OH,14,56,784,282,1.45,1137,2006
OR,46,48,2208,729,1.11,2451,2006
PA,28,40,1120,605,1.61,1803,2006
SD,225,47,10575,10575,0.82,8672,2006
TN,7,55,385,58,1.84,708,2006
TX,82,70,5740,976,0.87,4994,2006
UT,23,50,1150,265,1.05,1208,2006
VT,6,56,336,144,1.21,407,2006
VA,8,42,336,114,2.19,736,2006
WA,49,52,2548,1605,1.19,3032,2006
WV,5,42,210,57,1.95,410,2006
WI,64,93,5952,2500,1.14,6785,2006
WY,39,85,3315,497,0.88,2917,2006
Other,17,43,726,274,2.69,1951,2006
US,2392,64.7,154846,60528,1.042,161314,2006
AL,11,56,616,209,1.41,869,2007
AZ,30,64,1920,902,1.18,2266,2007
AR,28,80,2240,717,0.95,2128,2007
CA,340,40,13600,3672,1.04,14144,2007
CO,33,51,1683,892,1.12,1885,2007
FL,160,71,11360,1363,0.99,11246,2007
GA,60,58,3480,522,1.14,3967,2007
